"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17, 2021","19.14","19.14","19.14","19.14","-","0.00%"
"Jun 16, 2021","19.14","19.14","19.14","19.14","-","0.37%"
"Jun 15, 2021","19.07","19.07","19.07","19.07","-","0.10%"
"Jun 14, 2021","19.05","19.05","19.05","19.05","-","-0.16%"
"Jun 11, 2021","19.08","19.08","19.08","19.08","-","1.17%"
"Jun 10, 2021","18.86","18.86","18.86","18.86","-","-1.05%"
"Jun 09, 2021","19.06","19.06","19.06","19.06","-","0.42%"
"Jun 08, 2021","18.98","18.98","18.98","18.98","-","-0.47%"
"Jun 07, 2021","19.07","19.07","19.07","19.07","-","-0.57%"
"Jun 04, 2021","19.18","19.18","19.18","19.18","-","0.95%"
"Jun 03, 2021","19.00","19.00","19.00","19.00","-","-0.11%"
"Jun 02, 2021","19.02","19.02","19.02","19.02","-","0.48%"
"Jun 01, 2021","18.93","18.93","18.93","18.93","-","-0.73%"
"May 31, 2021","19.07","19.07","19.07","19.07","-","0.53%"
"May 28, 2021","18.97","18.97","18.97","18.97","-","1.12%"
"May 27, 2021","18.76","18.76","18.76","18.76","-","0.05%"
"May 26, 2021","18.75","18.75","18.75","18.75","-","-1.16%"
"May 25, 2021","18.97","18.97","18.97","18.97","-","-0.37%"
"May 24, 2021","19.04","19.04","19.04","19.04","-","0.16%"
"May 21, 2021","19.01","19.01","19.01","19.01","-","0.26%"
"May 20, 2021","18.96","18.96","18.96","18.96","-","0.58%"
"May 18, 2021","18.85","18.85","18.85","18.85","-","0.27%"
"May 17, 2021","18.80","18.80","18.80","18.80","-","4.62%"
"May 12, 2021","17.97","17.97","17.97","17.97","-","-6.55%"
"May 11, 2021","19.23","19.23","19.23","19.23","-","-0.21%"
"May 10, 2021","19.27","19.27","19.27","19.27","-","0.10%"
"May 07, 2021","19.25","19.25","19.25","19.25","-","0.10%"
"May 06, 2021","19.23","19.23","19.23","19.23","-","-0.05%"
"May 05, 2021","19.24","19.24","19.24","19.24","-","0.00%"
"May 04, 2021","19.24","19.24","19.24","19.24","-","-0.05%"
"May 03, 2021","19.25","19.25","19.25","19.25","-","-1.38%"
"Apr 30, 2021","19.52","19.52","19.52","19.52","-","2.74%"
"Apr 29, 2021","19.00","19.00","19.00","19.00","-","0.21%"
"Apr 28, 2021","18.96","18.96","18.96","18.96","-","-0.37%"
"Apr 27, 2021","19.03","19.03","19.03","19.03","-","0.16%"
"Apr 26, 2021","19.00","19.00","19.00","19.00","-","-0.68%"
"Apr 22, 2021","19.13","19.13","19.13","19.13","-","0.63%"
"Apr 21, 2021","19.01","19.01","19.01","19.01","-","-0.16%"
"Apr 20, 2021","19.04","19.04","19.04","19.04","-","-0.31%"
"Apr 19, 2021","19.10","19.10","19.10","19.10","-","-1.19%"
"Apr 16, 2021","19.33","19.33","19.33","19.33","-","2.82%"
"Apr 15, 2021","18.80","18.80","18.80","18.80","-","-0.42%"
"Apr 14, 2021","18.88","18.88","18.88","18.88","-","-0.32%"
"Apr 13, 2021","18.94","18.94","18.94","18.94","-","-1.35%"
"Apr 12, 2021","19.20","19.20","19.20","19.20","-","-1.13%"
"Apr 09, 2021","19.42","19.42","19.42","19.42","-","0.05%"
"Apr 08, 2021","19.41","19.41","19.41","19.41","-","0.78%"
"Apr 07, 2021","19.26","19.26","19.26","19.26","-","0.78%"
"Apr 06, 2021","19.11","19.11","19.11","19.11","-","1.16%"
"Apr 05, 2021","18.89","18.89","18.89","18.89","-","0.91%"
