"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2021","2,386.11","2,407.44","2,412.27","2,363.81","3.50B","0.73%"
"Dec 14, 2021","2,368.87","2,320.55","2,368.87","2,320.55","4.34B","3.24%"
"Dec 13, 2021","2,294.51","2,226.30","2,310.94","2,226.30","3.44B","3.70%"
"Dec 10, 2021","2,212.62","2,208.94","2,222.80","2,171.94","2.93B","0.22%"
"Dec 09, 2021","2,207.78","2,177.92","2,237.59","2,177.92","3.57B","1.67%"
"Dec 08, 2021","2,171.49","2,153.81","2,182.28","2,138.05","3.77B","1.29%"
"Dec 07, 2021","2,143.81","2,095.56","2,146.79","2,091.79","2.87B","3.35%"
"Dec 06, 2021","2,074.41","2,055.61","2,075.11","2,038.09","2.09B","1.25%"
"Dec 03, 2021","2,048.87","2,039.84","2,056.56","2,034.34","1.85B","1.43%"
"Dec 02, 2021","2,019.90","2,005.00","2,025.97","2,005.00","2.19B","1.14%"
"Dec 01, 2021","1,997.14","1,957.23","2,000.93","1,957.23","2.66B","2.80%"
"Nov 30, 2021","1,942.82","1,948.87","1,958.39","1,934.04","2.29B","-0.45%"
"Nov 29, 2021","1,951.67","1,921.79","1,957.08","1,911.93","2.11B","1.95%"
"Nov 26, 2021","1,914.37","1,961.56","1,961.56","1,897.11","2.68B","-2.93%"
"Nov 25, 2021","1,972.09","1,973.91","1,991.73","1,960.40","2.33B","0.05%"
"Nov 24, 2021","1,971.16","1,962.27","1,999.04","1,956.69","3.79B","1.35%"
"Nov 23, 2021","1,944.99","1,911.04","1,953.21","1,904.86","3.83B","1.79%"
"Nov 22, 2021","1,910.87","1,911.96","1,918.02","1,895.47","1.57B","0.71%"
"Nov 19, 2021","1,897.39","1,920.78","1,931.08","1,887.70","2.26B","-0.52%"
"Nov 18, 2021","1,907.33","1,871.65","1,935.26","1,857.82","4.47B","2.09%"
"Nov 17, 2021","1,868.37","1,838.40","1,876.25","1,838.40","2.45B","1.35%"
"Nov 16, 2021","1,843.47","1,878.87","1,892.31","1,839.00","3.34B","-0.88%"
"Nov 15, 2021","1,859.76","1,826.04","1,873.32","1,826.04","2.72B","4.46%"
"Nov 12, 2021","1,780.33","1,774.12","1,785.63","1,771.83","1.71B","0.74%"
"Nov 11, 2021","1,767.18","1,766.37","1,789.89","1,764.05","3.06B","-0.11%"
"Nov 10, 2021","1,769.04","1,761.95","1,774.15","1,744.58","2.38B","0.57%"
"Nov 09, 2021","1,758.97","1,750.88","1,778.59","1,744.77","3.15B","0.66%"
"Nov 08, 2021","1,747.52","1,723.28","1,747.82","1,721.21","2.12B","1.77%"
"Nov 05, 2021","1,717.19","1,705.21","1,721.17","1,696.95","1.97B","0.66%"
"Nov 04, 2021","1,705.88","1,688.09","1,708.16","1,688.09","2.23B","2.14%"
"Nov 03, 2021","1,670.14","1,650.98","1,670.14","1,607.84","2.73B","1.12%"
"Nov 02, 2021","1,651.66","1,656.09","1,665.68","1,647.09","1.76B","-0.13%"
"Nov 01, 2021","1,653.74","1,635.48","1,657.57","1,627.22","1.73B","1.10%"
"Oct 28, 2021","1,635.71","1,633.78","1,640.02","1,630.64","731.19M","0.03%"
"Oct 27, 2021","1,635.28","1,622.92","1,637.67","1,616.36","2.05B","0.60%"
"Oct 26, 2021","1,625.55","1,616.95","1,629.60","1,616.95","1.54B","1.12%"
"Oct 25, 2021","1,607.56","1,587.89","1,611.53","1,582.88","2.16B","0.82%"
"Oct 22, 2021","1,594.43","1,567.69","1,600.86","1,564.54","2.06B","1.73%"
"Oct 21, 2021","1,567.33","1,541.99","1,567.33","1,523.18","2.71B","1.68%"
"Oct 20, 2021","1,541.45","1,538.27","1,545.98","1,534.40","1.72B","0.38%"
"Oct 19, 2021","1,535.58","1,530.80","1,541.93","1,530.80","1.49B","0.80%"
"Oct 18, 2021","1,523.44","1,517.18","1,525.12","1,511.76","1.46B","0.51%"
"Oct 15, 2021","1,515.75","1,525.49","1,530.43","1,500.38","1.98B","-0.21%"
"Oct 14, 2021","1,519.00","1,519.03","1,530.11","1,512.75","1.31B","-0.09%"
"Oct 13, 2021","1,520.33","1,530.14","1,541.31","1,514.07","1.78B","-0.28%"
"Oct 12, 2021","1,524.55","1,514.77","1,530.67","1,513.45","1.55B","0.12%"
"Oct 11, 2021","1,522.75","1,503.70","1,527.35","1,503.70","1.17B","1.55%"
"Oct 08, 2021","1,499.55","1,500.25","1,508.19","1,494.60","1.48B","-0.01%"
"Oct 07, 2021","1,499.66","1,483.12","1,500.73","1,483.12","1.47B","2.20%"
"Oct 06, 2021","1,467.33","1,488.29","1,489.85","1,466.94","1.55B","-1.44%"
"Oct 05, 2021","1,488.75","1,491.23","1,493.90","1,484.28","959.87M","-0.05%"
"Oct 04, 2021","1,489.55","1,499.97","1,506.20","1,489.55","1.10B","-0.61%"
"Oct 01, 2021","1,498.75","1,496.28","1,506.83","1,491.34","1.11B","-0.43%"
"Sep 30, 2021","1,505.15","1,490.81","1,510.31","1,481.46","1.59B","1.09%"
"Sep 29, 2021","1,488.90","1,489.11","1,494.12","1,486.09","1.17B","0.69%"
"Sep 28, 2021","1,478.77","1,487.52","1,490.93","1,474.12","1.29B","-0.68%"
"Sep 27, 2021","1,488.88","1,488.89","1,493.88","1,474.14","1.19B","0.71%"
"Sep 24, 2021","1,478.45","1,492.87","1,492.87","1,468.90","1.34B","-1.33%"
"Sep 23, 2021","1,498.31","1,513.04","1,521.89","1,491.35","1.97B","-0.88%"
"Sep 22, 2021","1,511.65","1,493.19","1,511.65","1,486.77","1.06B","1.81%"
"Sep 21, 2021","1,484.75","1,500.03","1,503.56","1,481.91","1.20B","-0.41%"
"Sep 20, 2021","1,490.91","1,505.71","1,505.71","1,484.46","1.12B","-1.89%"
"Sep 17, 2021","1,519.58","1,521.03","1,526.90","1,508.63","1.08B","0.31%"
"Sep 16, 2021","1,514.93","1,523.05","1,531.05","1,508.56","994.58M","-0.20%"
"Sep 15, 2021","1,518.01","1,531.71","1,538.80","1,514.13","1.08B","-0.97%"
"Sep 14, 2021","1,532.91","1,539.70","1,543.79","1,526.17","1.23B","-0.30%"
"Sep 13, 2021","1,537.59","1,537.40","1,547.96","1,531.31","1.09B","0.09%"
