"Date","Price","Open","High","Low","Change %"
"Oct 20, 2021","10.7285","10.8210","10.8877","10.7009","-0.74%"
"Oct 19, 2021","10.8082","10.8381","10.9250","10.7664","-0.16%"
"Oct 18, 2021","10.8252","10.7485","10.8762","10.6965","0.89%"
"Oct 15, 2021","10.7301","10.6560","10.7688","10.6287","0.87%"
"Oct 14, 2021","10.6375","10.5380","10.6747","10.4991","1.06%"
"Oct 13, 2021","10.5262","10.4255","10.5555","10.3991","1.08%"
"Oct 12, 2021","10.4135","10.3991","10.4590","10.3746","0.29%"
"Oct 11, 2021","10.3832","10.3915","10.4313","10.3173","0.17%"
"Oct 08, 2021","10.3657","10.2550","10.4019","10.2254","1.18%"
"Oct 07, 2021","10.2445","10.2606","10.3001","10.2220","-0.05%"
"Oct 06, 2021","10.2496","10.2963","10.3535","10.2282","-0.34%"
"Oct 05, 2021","10.2843","10.2946","10.3236","10.2484","-0.02%"
"Oct 04, 2021","10.2861","10.2758","10.3189","10.2558","0.18%"
"Oct 01, 2021","10.2673","10.2978","10.3128","10.2198","-0.23%"
"Sep 30, 2021","10.2911","10.3490","10.3821","10.2563","-0.40%"
"Sep 29, 2021","10.3324","10.3707","10.3955","10.2858","-0.23%"
"Sep 28, 2021","10.3560","10.3187","10.4015","10.2993","0.48%"
"Sep 27, 2021","10.3069","10.4076","10.4368","10.3034","-0.90%"
"Sep 24, 2021","10.4004","10.2919","10.4333","10.2683","1.14%"
"Sep 23, 2021","10.2833","10.1145","10.3201","10.0995","1.75%"
"Sep 22, 2021","10.1069","10.1158","10.1748","10.0716","0.02%"
"Sep 21, 2021","10.1052","10.1693","10.1908","10.0643","-0.51%"
"Sep 20, 2021","10.1575","10.1393","10.2297","10.1094","0.40%"
"Sep 17, 2021","10.1167","10.0345","10.1687","9.9950","0.89%"
"Sep 16, 2021","10.0278","9.9682","10.0625","9.9166","0.74%"
"Sep 15, 2021","9.9546","9.9672","10.0064","9.9390","0.08%"
"Sep 14, 2021","9.9463","9.9531","10.0128","9.9256","0.05%"
"Sep 13, 2021","9.9417","10.0066","10.0196","9.9235","-0.47%"
"Sep 10, 2021","9.9882","9.9770","10.0205","9.9173","0.19%"
"Sep 09, 2021","9.9691","10.0130","10.0813","9.9596","-0.24%"
"Sep 08, 2021","9.9934","9.8904","10.0351","9.8644","1.16%"
"Sep 07, 2021","9.8785","9.8308","9.9046","9.8005","0.56%"
"Sep 06, 2021","9.8233","9.8910","9.9002","9.7999","-0.45%"
"Sep 03, 2021","9.8679","9.8303","9.9208","9.8092","0.46%"
"Sep 02, 2021","9.8224","9.8233","9.8452","9.7802","0.08%"
"Sep 01, 2021","9.8149","9.8209","9.8580","9.7701","0.10%"
"Aug 31, 2021","9.8051","9.8867","9.9243","9.7880","-0.74%"
"Aug 30, 2021","9.8782","9.8515","9.9083","9.8222","0.39%"
"Aug 27, 2021","9.8394","9.8629","9.9047","9.8125","-0.15%"
"Aug 26, 2021","9.8541","9.8636","9.8947","9.8049","0.04%"
"Aug 25, 2021","9.8501","9.8855","9.9084","9.8052","-0.18%"
"Aug 24, 2021","9.8677","9.8991","9.9295","9.8430","-0.19%"
"Aug 23, 2021","9.8861","9.9330","9.9688","9.8808","-0.38%"
"Aug 20, 2021","9.9243","9.9288","10.0230","9.6566","0.09%"
"Aug 19, 2021","9.9158","9.9010","10.0126","9.8177","0.23%"
"Aug 18, 2021","9.8932","9.8770","9.9752","9.8406","0.25%"
"Aug 17, 2021","9.8688","9.9640","9.9958","9.8331","-0.87%"
"Aug 16, 2021","9.9551","10.0560","10.0700","9.9239","-0.87%"
"Aug 13, 2021","10.0425","10.0372","10.1031","9.9681","0.15%"
"Aug 12, 2021","10.0279","10.1321","10.1473","9.9810","-0.93%"
"Aug 11, 2021","10.1219","10.0847","10.1842","9.9373","0.63%"
"Aug 10, 2021","10.0590","10.1581","10.1868","10.0312","-0.85%"
"Aug 09, 2021","10.1453","10.1513","10.2067","10.0987","0.13%"
"Aug 06, 2021","10.1324","10.0908","10.1937","10.0616","0.46%"
"Aug 05, 2021","10.0856","10.0359","10.1531","10.0178","0.58%"
"Aug 04, 2021","10.0273","9.9741","10.0601","9.9401","0.63%"
"Aug 03, 2021","9.9650","9.9141","10.0386","9.8406","0.63%"
"Aug 02, 2021","9.9024","10.0299","10.0731","9.8917","-1.09%"
"Jul 30, 2021","10.0115","10.0486","10.0917","9.9569","-0.35%"
"Jul 29, 2021","10.0463","10.1327","10.1700","10.0176","-0.76%"
"Jul 28, 2021","10.1229","10.1217","10.1524","10.0700","0.25%"
"Jul 27, 2021","10.0981","10.1004","10.1604","10.0702","0.10%"
"Jul 26, 2021","10.0877","10.0765","10.1719","10.0475","0.27%"
"Jul 23, 2021","10.0603","10.0766","10.0976","10.0091","-0.07%"
"Jul 22, 2021","10.0676","10.0697","10.1386","10.0288","-0.23%"
"Jul 21, 2021","10.0912","10.0996","10.1454","10.0459","0.05%"
"Jul 20, 2021","10.0862","10.1334","10.1587","10.0078","-0.25%"
"Jul 19, 2021","10.1111","10.0648","10.1587","10.0155","0.59%"
"Jul 16, 2021","10.0518","10.1242","10.1440","10.0089","-0.60%"
"Jul 15, 2021","10.1123","10.1701","10.1823","10.0860","-0.45%"
"Jul 14, 2021","10.1577","10.1573","10.1992","10.1218","0.13%"
"Jul 13, 2021","10.1447","10.2499","10.2619","10.1272","-0.93%"
"Jul 12, 2021","10.2395","10.2820","10.3003","10.2117","-0.25%"
"Jul 09, 2021","10.2655","10.2980","10.3110","10.2305","-0.24%"
"Jul 08, 2021","10.2899","10.2468","10.3204","10.2228","0.51%"
"Jul 07, 2021","10.2379","10.2773","10.2922","10.2172","-0.29%"
"Jul 06, 2021","10.2678","10.2880","10.3125","10.2266","-0.07%"
"Jul 05, 2021","10.2753","10.3080","10.3364","10.2576","-0.21%"
"Jul 02, 2021","10.2970","10.2662","10.3301","10.2332","0.48%"
"Jul 01, 2021","10.2480","10.3277","10.3441","10.2348","-0.68%"
"Jun 30, 2021","10.3182","10.3958","10.4190","10.2581","-0.64%"
"Jun 29, 2021","10.3842","10.3547","10.4259","10.3079","0.29%"
"Jun 28, 2021","10.3538","10.4643","10.4734","10.3427","-0.83%"
"Jun 25, 2021","10.4405","10.3914","10.5084","10.3332","0.58%"
"Jun 24, 2021","10.3801","10.3079","10.4152","10.2873","0.84%"
"Jun 23, 2021","10.2940","10.3318","10.3642","10.2383","-0.25%"
"Jun 22, 2021","10.3197","10.4509","10.4835","10.2912","-1.17%"
"Jun 21, 2021","10.4415","10.3748","10.4748","10.3420","0.90%"
"Jun 18, 2021","10.3487","10.3836","10.4040","10.2873","-0.20%"
"Jun 17, 2021","10.3692","10.3251","10.4180","10.2575","0.50%"
"Jun 16, 2021","10.3174","10.3775","10.4194","10.2552","-0.44%"
"Jun 15, 2021","10.3631","10.2635","10.4265","10.2302","1.11%"
"Jun 14, 2021","10.2494","10.1564","10.2868","10.0358","1.01%"
"Jun 11, 2021","10.1470","10.2556","10.3020","10.0681","-0.99%"
"Jun 10, 2021","10.2486","10.4609","10.4698","10.2359","-1.90%"
"Jun 09, 2021","10.4471","10.4749","10.5077","10.4338","-0.17%"
"Jun 08, 2021","10.4645","10.4986","10.5294","10.4257","0.12%"
"Jun 07, 2021","10.4515","10.5473","10.5681","10.4390","-0.75%"
"Jun 04, 2021","10.5304","10.5552","10.6057","10.4868","-0.06%"
"Jun 03, 2021","10.5364","10.4916","10.6038","10.4604","0.55%"
"Jun 02, 2021","10.4785","10.4270","10.7324","10.4132","0.60%"
"Jun 01, 2021","10.4161","10.3800","10.4621","10.3453","0.47%"
"May 31, 2021","10.3678","10.4334","10.4762","10.3126","-0.51%"
"May 28, 2021","10.4214","10.3646","10.4803","10.2926","0.75%"
"May 27, 2021","10.3438","10.3099","10.4221","10.2593","0.42%"
"May 26, 2021","10.3007","10.3692","10.3813","10.2904","-0.55%"
"May 25, 2021","10.3572","10.2455","10.3979","10.2252","1.22%"
